prec1,prec10,slice
1,1,building
1,1,address
1,1,address
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
0,1,misc
1,1,address
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,address
1,1,building
1,1,misc
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,address
1,1,misc
1,1,building
1,1,building
1,1,building
1,1,address
1,1,address
1,1,address
1,1,address
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
0,1,misc
1,1,address
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,misc
1,1,address
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,misc
1,1,misc
1,1,building
0,1,highway
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,misc
1,1,address
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,building
1,1,address
1,1,misc
1,1,address
1,1,building
1,1,building
1,1,misc
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,address
1,1,address
1,1,building
1,1,building
0,1,misc
1,1,address
1,1,address
1,1,address
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
0,0,highway
1,1,building
1,1,building
1,1,address
1,1,misc
1,1,building
1,1,address
1,1,building
1,1,building
0,0,misc
1,1,building
1,1,highway
1,1,address
1,1,address
1,1,misc
1,1,building
1,1,address
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,address
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,address
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
0,1,misc
1,1,building
1,1,building
1,1,building
1,1,address
1,1,address
1,1,building
1,1,building
1,1,building
1,1,highway
1,1,address
1,1,address
1,1,misc
1,1,address
1,1,misc
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,highway
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,highway
1,1,misc
1,1,address
1,1,building
1,1,address
0,1,misc
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,highway
1,1,misc
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,address
1,1,building
1,1,building
1,1,misc
1,1,building
1,1,address
1,1,building
1,1,highway
1,1,highway
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,highway
1,1,building
1,1,building
1,1,building
0,1,highway
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,address
1,1,address
1,1,address
1,1,address
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,misc
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
0,1,misc
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,address
1,1,address
1,1,building
1,1,address
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,address
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
0,0,misc
1,1,building
1,1,building
1,1,highway
1,1,address
1,1,misc
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,misc
1,1,building
1,1,building
1,1,building
1,1,address
1,1,address
1,1,address
1,1,building
1,1,building
1,1,misc
1,1,address
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,address
1,1,address
1,1,address
1,1,address
1,1,address
1,1,building
1,1,building
1,1,address
1,1,building
1,1,address
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,address
1,1,address
1,1,building
1,1,address
1,1,address
0,1,misc
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,misc
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,address
1,1,address
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,address
1,1,address
1,1,building
1,1,address
1,1,misc
1,1,address
1,1,building
1,1,address
1,1,building
1,1,address
1,1,building
1,1,address
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,misc
1,1,address
1,1,address
1,1,building
0,1,building
1,1,address
0,1,misc
1,1,building
1,1,address
1,1,address
1,1,misc
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,address
1,1,building
1,1,misc
1,1,address
1,1,address
1,1,misc
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,address
1,1,address
1,1,address
1,1,building
1,1,address
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,highway
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,misc
1,1,building
1,1,building
1,1,misc
1,1,building
1,1,address
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,highway
1,1,misc
0,1,misc
1,1,building
1,1,building
1,1,address
0,1,highway
1,1,address
1,1,address
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,address
1,1,building
1,1,address
1,1,building
1,1,address
1,1,building
1,1,address
1,1,address
1,1,misc
1,1,misc
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,misc
1,1,address
1,1,building
1,1,building
1,1,address
0,0,misc
1,1,building
1,1,building
1,1,building
1,1,address
1,1,address
1,1,address
1,1,building
1,1,address
1,1,building
1,1,address
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,highway
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,misc
1,1,building
1,1,building
1,1,address
1,1,address
1,1,address
1,1,building
1,1,building
1,1,highway
1,1,address
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,address
1,1,address
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,misc
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,address
0,0,misc
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,address
1,1,building
1,1,address
1,1,building
1,1,address
1,1,building
1,1,address
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,address
1,1,address
1,1,building
1,1,misc
1,1,address
1,1,address
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,address
1,1,address
1,1,building
1,1,building
1,1,address
1,1,address
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,address
1,1,building
1,1,address
1,1,building
1,1,address
1,1,building
1,1,building
0,0,misc
1,1,address
1,1,address
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,misc
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,misc
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,address
1,1,address
1,1,building
1,1,building
1,1,address
1,1,address
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,misc
1,1,address
1,1,building
0,1,misc
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,address
1,1,building
1,1,building
1,1,building
1,1,address
1,1,misc
1,1,address
1,1,address
1,1,building
1,1,address
1,1,address
1,1,building
1,1,address
1,1,address
1,1,building
1,1,address
1,1,address
1,1,address
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,misc
1,1,building
1,1,highway
0,1,misc
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,misc
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,address
1,1,building
1,1,address
1,1,address
1,1,address
1,1,misc
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,address
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
0,1,misc
1,1,building
1,1,building
1,1,misc
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,address
1,1,building
1,1,address
0,1,misc
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
0,0,misc
1,1,building
1,1,address
1,1,address
1,1,building
1,1,address
1,1,building
1,1,address
1,1,address
1,1,misc
1,1,building
1,1,address
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,building
1,1,highway
1,1,building
1,1,building
1,1,address
1,1,building
1,1,address
1,1,building
1,1,address
1,1,building
1,1,building
1,1,misc
1,1,address
1,1,building
1,1,building
0,1,misc
1,1,address
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,misc
1,1,address
0,1,misc
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,address
1,1,building
1,1,address
1,1,address
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,address
1,1,address
0,0,misc
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,address
1,1,misc
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,misc
1,1,address
1,1,building
1,1,building
1,1,address
1,1,building
1,1,address
0,0,misc
0,1,highway
1,1,address
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,address
1,1,highway
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
0,0,misc
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,address
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,misc
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,address
1,1,address
1,1,address
1,1,building
1,1,address
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,building
1,1,address
1,1,address
1,1,building
1,1,address
1,1,building
1,1,address
1,1,misc
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,address
1,1,building
1,1,address
1,1,building
0,0,misc
1,1,address
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,address
1,1,address
1,1,address
1,1,address
1,1,address
1,1,address
1,1,building
1,1,building
1,1,address
1,1,address
1,1,address
1,1,building
1,1,building
1,1,building
1,1,address
1,1,address
1,1,address
1,1,building
1,1,building
1,1,address
1,1,highway
1,1,address
1,1,building
1,1,building
1,1,address
1,1,address
1,1,building
1,1,building
1,1,address
0,1,misc
1,1,building
1,1,building
1,1,misc
1,1,address
1,1,misc
1,1,address
1,1,address
1,1,building
1,1,address
1,1,building
1,1,building
1,1,highway
1,1,address
1,1,address
1,1,address
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,address
1,1,building
1,1,building
1,1,building
1,1,address
1,1,address
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,address
1,1,building
0,1,misc
1,1,building
1,1,building
1,1,address
1,1,address
1,1,address
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,address
1,1,building
1,1,address
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,address
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,misc
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,address
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,address
1,1,building
1,1,misc
1,1,address
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
0,0,misc
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,misc
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
0,0,misc
1,1,building
1,1,building
1,1,address
1,1,building
1,1,address
1,1,address
1,1,address
1,1,building
1,1,address
1,1,building
1,1,address
1,1,building
1,1,address
1,1,address
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,misc
1,1,address
1,1,address
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,address
1,1,address
1,1,address
1,1,building
0,1,misc
1,1,building
1,1,address
1,1,building
1,1,highway
1,1,address
0,1,misc
1,1,address
1,1,address
1,1,building
1,1,misc
1,1,building
1,1,address
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
0,1,misc
1,1,address
1,1,building
1,1,misc
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,misc
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,address
1,1,building
1,1,address
0,1,misc
1,1,address
1,1,building
1,1,building
1,1,building
1,1,misc
0,1,misc
1,1,address
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
0,0,highway
1,1,building
1,1,misc
1,1,address
1,1,misc
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,building
1,1,address
0,1,misc
1,1,address
1,1,address
1,1,building
1,1,address
1,1,building
1,1,building
1,1,misc
1,1,address
1,1,building
1,1,building
1,1,address
1,1,address
1,1,address
1,1,building
1,1,building
1,1,building
1,1,address
1,1,address
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,address
1,1,address
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,misc
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,address
1,1,address
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
0,1,highway
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,misc
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,misc
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,address
1,1,building
1,1,address
1,1,building
1,1,address
1,1,address
0,1,misc
1,1,address
1,1,building
1,1,building
1,1,address
1,1,address
1,1,address
1,1,building
1,1,address
1,1,address
0,1,highway
0,1,misc
1,1,misc
1,1,building
1,1,address
1,1,misc
1,1,address
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,building
1,1,address
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,misc
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,highway
1,1,address
1,1,address
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,misc
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,address
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,address
1,1,highway
1,1,building
1,1,building
1,1,address
1,1,misc
1,1,building
1,1,building
1,1,building
1,1,misc
1,1,building
0,1,misc
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,misc
1,1,address
1,1,building
1,1,building
1,1,misc
1,1,misc
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,misc
1,1,building
1,1,misc
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,address
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,address
1,1,address
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,highway
1,1,address
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
0,1,misc
1,1,highway
1,1,address
1,1,misc
1,1,building
1,1,address
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,building
1,1,address
1,1,building
1,1,address
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,misc
1,1,address
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
0,1,misc
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,misc
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,address
1,1,building
1,1,misc
1,1,address
1,1,building
1,1,building
1,1,misc
1,1,misc
1,1,building
1,1,building
1,1,building
0,1,highway
1,1,building
1,1,address
1,1,address
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,address
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,misc
1,1,building
1,1,building
1,1,address
1,1,address
1,1,building
1,1,building
1,1,building
1,1,address
1,1,address
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,address
1,1,address
1,1,building
1,1,address
1,1,building
1,1,address
1,1,building
0,1,misc
1,1,building
1,1,building
1,1,building
1,1,misc
1,1,address
1,1,address
1,1,address
1,1,address
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,building
1,1,address
1,1,address
1,1,misc
1,1,address
1,1,misc
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,misc
1,1,building
1,1,address
1,1,building
1,1,address
1,1,building
1,1,address
1,1,address
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
0,0,address
1,1,address
1,1,address
1,1,building
1,1,address
1,1,address
1,1,address
1,1,building
1,1,address
0,1,misc
1,1,address
1,1,address
1,1,address
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,misc
1,1,address
1,1,building
1,1,address
1,1,building
1,1,address
1,1,misc
1,1,address
1,1,address
1,1,building
1,1,building
1,1,building
1,1,misc
1,1,building
1,1,address
1,1,building
1,1,building
0,1,misc
1,1,building
1,1,address
1,1,misc
1,1,building
1,1,building
1,1,building
1,1,address
1,1,address
1,1,building
1,1,highway
1,1,building
1,1,building
1,1,misc
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,misc
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,misc
1,1,building
1,1,building
1,1,address
1,1,building
1,1,address
1,1,address
1,1,building
1,1,building
1,1,building
1,1,address
1,1,address
1,1,building
1,1,building
1,1,building
0,1,misc
1,1,address
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,misc
1,1,building
1,1,address
1,1,address
1,1,address
1,1,building
1,1,address
1,1,misc
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
0,0,misc
1,1,address
1,1,address
1,1,highway
1,1,address
1,1,building
1,1,address
1,1,building
1,1,address
0,0,misc
1,1,misc
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
0,0,misc
1,1,address
1,1,address
1,1,building
1,1,building
1,1,address
1,1,building
1,1,address
1,1,misc
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,address
1,1,building
1,1,address
1,1,address
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,misc
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,address
1,1,address
1,1,misc
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,building
1,1,highway
0,1,misc
1,1,address
1,1,building
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,building
1,1,address
1,1,address
1,1,building
1,1,building
1,1,address
1,1,building
1,1,building
1,1,address
1,1,building
1,1,address
1,1,building
1,1,highway
1,1,address
1,1,address
0,0,highway
1,1,building
1,1,address
1,1,address
1,1,building
1,1,address
1,1,building
1,1,misc
1,1,misc
1,1,building
1,1,building
1,1,building
1,1,misc
1,1,address
1,1,building
1,1,building
0,1,highway
1,1,building
1,1,building
1,1,building
1,1,building
1,1,address
1,1,address
1,1,address
1,1,building
1,1,building
1,1,building
1,1,address
1,1,address
1,1,address
1,1,address
1,1,address
1,1,address
1,1,building
1,1,building
1,1,building
1,1,building
1,1,misc
1,1,building
1,1,address
1,1,address
1,1,building
1,1,address
1,1,building
1,1,address
1,1,address
1,1,highway
1,1,address
1,1,address
1,1,building
1,1,building
1,1,building
