map10,slice
0.25,building
0.4,address
0.4,address
0.25,building
0.37142857142857144,address
0.375,building
0.25,building
0.375,building
0.25,building
0.125,misc
0.4,address
0.5,building
0.5,building
0.3333333333333333,building
0.2,address
0.3055555555555556,building
0.4,address
0.5,building
1.0,misc
0.3333333333333333,address
0.41666666666666663,building
0.41666666666666663,building
0.25,building
0.4270833333333333,building
0.3214285714285714,building
0.5,building
0.25,building
0.3214285714285714,building
0.375,building
0.25,building
0.4,address
0.375,building
0.25,building
0.41666666666666663,building
0.3,address
0.2777777777777778,misc
0.3125,building
0.25,building
0.3,building
0.4,address
0.26666666666666666,address
0.4,address
0.4,address
0.41666666666666663,building
0.5833333333333334,building
0.25,building
0.4,address
0.25,building
0.5833333333333333,misc
0.625,address
0.25,building
0.3333333333333333,address
0.375,building
0.25,building
0.25,building
0.5,building
1.0,misc
0.42857142857142855,address
0.3333333333333333,address
0.25,building
0.5,building
0.5,building
0.25,building
0.25,building
0.5,building
0.4,address
0.41666666666666663,building
0.25,building
0.41666666666666663,building
0.35,building
0.3333333333333333,address
0.2,misc
1.0,misc
0.25,building
0.037037037037037035,highway
0.5,building
0.3333333333333333,address
0.375,building
0.25,building
0.5,building
0.5,building
0.3333333333333333,building
0.25,building
1.0,misc
0.2,address
0.5,building
0.2,address
0.5,building
0.25,building
0.4,address
0.5,building
0.4,address
0.5,misc
0.4,address
0.25,building
0.3214285714285714,building
0.6242063492063492,misc
0.3333333333333333,building
0.5,building
0.4,address
0.5,building
0.375,building
0.5,building
0.4,address
0.4,address
0.25,building
0.25,building
0.16666666666666666,misc
0.24,address
0.419047619047619,address
0.5,address
0.5,building
0.5,building
0.25,building
0.4,address
0.5,building
0.5,building
0.4666666666666667,address
0.475,building
0.25,building
0.3214285714285714,building
0.0,highway
0.5,building
0.25,building
0.4,address
0.3392857142857143,misc
0.41666666666666663,building
0.3,address
0.25,building
0.25,building
0.0,misc
0.25,building
0.5,highway
0.4166666666666667,address
0.4,address
0.5,misc
0.5,building
0.4,address
0.41666666666666663,building
0.24444444444444446,address
0.5,building
0.25,building
0.5,building
0.5,building
0.4,address
0.37142857142857144,address
0.25,building
0.3333333333333333,address
0.5,building
0.5,building
0.41666666666666663,building
0.3,address
0.5,building
0.4,address
0.4,address
0.25,building
0.41666666666666663,building
0.25,building
0.5,building
0.5,building
0.25,building
0.35,building
0.4,address
0.25,building
0.25,building
0.5,building
0.016666666666666666,misc
0.25,building
0.5,building
0.41666666666666663,building
0.2,address
0.4583333333333333,address
0.5,building
0.35,building
0.25,building
0.5,highway
0.2,address
0.4,address
0.6666666666666666,misc
0.4,address
0.8095238095238095,misc
0.375,building
0.5,building
0.3333333333333333,building
0.25,building
0.16666666666666666,address
0.41666666666666663,building
0.4444444444444444,highway
0.25,building
0.375,building
0.27777777777777773,address
0.5,building
0.25,building
0.3333333333333333,address
0.5,address
0.25,building
0.41666666666666663,building
0.25,building
0.41666666666666663,building
0.25,building
0.3333333333333333,address
0.4444444444444444,highway
1.0,misc
0.4,address
0.375,building
0.4,address
0.5833333333333333,misc
0.41666666666666663,building
0.3214285714285714,building
0.375,building
0.4,address
0.375,building
0.5,building
0.4,address
0.24444444444444446,address
0.25,building
0.5,building
0.25,building
0.35,building
0.5,building
0.3,building
0.3,address
0.41666666666666663,building
0.3125,building
0.2,address
0.5,building
0.25,building
0.375,building
0.25,building
0.5,building
0.25,building
0.575,building
0.5,building
0.5,highway
0.625,misc
0.5,building
0.4,address
0.5,building
0.3214285714285714,building
0.25,building
0.25,building
0.25,building
0.25,building
0.3333333333333333,address
0.41666666666666663,building
0.16666666666666666,address
0.375,building
0.3055555555555556,building
1.0,misc
0.3333333333333333,building
0.5,address
0.5,building
0.5555555555555555,highway
0.5,highway
0.25,building
0.16666666666666666,building
0.25,building
0.4,address
0.5,building
0.41666666666666663,building
0.4,address
0.31666666666666665,highway
0.375,building
0.5,building
0.3125,building
0.15079365079365079,highway
0.5,building
0.5,building
0.25,building
0.3125,building
0.4,address
0.71,address
0.3333333333333333,address
0.5,address
0.5,address
0.375,building
0.41666666666666663,building
0.25,building
0.4,address
0.25,building
0.35,building
0.3125,building
0.41666666666666663,building
0.2,building
0.5,building
0.7,misc
0.35,building
0.5,building
0.5,building
0.3333333333333333,building
0.49166666666666664,building
0.027777777777777776,misc
0.375,building
0.3333333333333333,address
0.5,building
0.41666666666666663,building
0.25,building
0.4,address
0.4,address
0.41666666666666663,building
0.2,address
0.2333333333333333,address
0.375,building
0.3,building
0.25,building
0.41666666666666663,building
0.3214285714285714,building
0.5785714285714285,address
0.25,building
0.25,building
0.4222222222222222,address
0.4,address
0.3571428571428571,building
0.3333333333333333,address
0.41666666666666663,building
0.5,building
0.25,building
0.5,building
0.0,misc
0.5,building
0.41666666666666663,building
0.27777777777777773,highway
0.16666666666666666,address
0.4822222222222222,misc
0.375,building
0.41666666666666663,building
0.41666666666666663,building
0.25,building
0.3214285714285714,building
0.25,address
0.9,misc
0.41666666666666663,building
0.3214285714285714,building
0.25,building
0.4,address
0.3333333333333333,address
0.4,address
0.5,building
0.5,building
0.8788888888888889,misc
0.3333333333333333,address
0.5,building
0.25,building
0.5,building
0.3333333333333333,address
0.25,building
0.2,address
0.4,address
0.3333333333333333,address
0.16666666666666666,address
0.8,address
0.25,building
0.41666666666666663,building
0.4,address
0.5,building
0.4,address
0.2857142857142857,address
0.3333333333333333,building
0.5,building
0.5,building
0.25,building
0.3,building
0.25,building
0.5,building
0.25,building
0.3333333333333333,address
0.2,address
0.2857142857142857,address
0.25,building
0.4,address
0.25,address
0.05,misc
0.5,building
0.5,building
0.2,address
0.41666666666666663,building
0.25,building
0.5,building
0.41666666666666663,building
0.25,building
0.32857142857142857,address
0.41666666666666663,misc
0.3333333333333333,building
0.4,address
0.25,building
0.5,building
0.52,building
0.375,building
0.3333333333333333,address
0.5,building
0.3333333333333333,address
0.2333333333333333,address
0.25,building
0.25,building
0.3333333333333333,building
0.4,address
0.5,building
0.3333333333333333,address
0.41666666666666663,building
0.5,building
0.25,building
0.41666666666666663,building
0.5,building
0.4,address
0.4,address
0.21428571428571427,address
0.3214285714285714,building
0.2857142857142857,address
0.7571031746031747,misc
0.3888888888888889,address
0.25,building
0.3333333333333333,address
0.25,building
0.3333333333333333,address
0.65,building
0.76,address
0.3333333333333333,address
0.25,building
0.5,building
0.35,building
0.5,building
0.375,building
1.0,misc
0.4166666666666667,address
0.3333333333333333,address
0.3055555555555556,building
0.05,building
0.52,address
0.02,misc
0.25,building
0.4,address
0.4,address
0.25357142857142856,misc
0.25,building
0.3,building
0.5,building
0.35,building
0.20370370370370372,address
0.3333333333333333,address
0.5,building
0.9,misc
0.2847222222222222,address
0.4,address
1.0,misc
0.25,building
0.25,building
0.25,building
0.35,building
0.3333333333333333,address
0.5,building
0.25,building
0.5,building
0.4,address
0.4,address
0.4,address
0.41666666666666663,building
0.2,address
0.2,address
0.5,building
0.25,building
0.25,building
0.5,building
0.4583333333333333,address
0.5,building
0.25,building
0.4,address
0.25,building
0.25,building
0.5,highway
0.25,building
0.5,building
0.4,address
0.25,building
0.5,building
0.6428571428571429,misc
0.5,building
0.41666666666666663,building
1.0,misc
0.5,building
0.4,address
0.375,building
0.3333333333333333,address
0.25,building
0.375,building
0.4,address
0.5,highway
0.8333333333333333,misc
0.0625,misc
0.375,building
0.25,building
0.2,address
0.125,highway
0.3333333333333333,address
0.3333333333333333,address
0.27999999999999997,address
0.25,building
0.41666666666666663,building
0.25,building
0.3214285714285714,building
0.3469387755102041,address
0.41666666666666663,building
0.52,address
0.5,building
0.3333333333333333,address
0.25,building
0.16666666666666666,address
0.425,building
0.27777777777777773,address
0.3333333333333333,address
0.5,misc
0.2,misc
0.5,building
0.25,building
0.5,building
0.5,building
0.2333333333333333,building
0.7333333333333333,misc
0.19999999999999998,address
0.575,building
0.375,building
0.4,address
0.0,misc
0.5,building
0.25,building
0.25,building
0.5,address
0.4,address
0.4,address
0.41666666666666663,building
0.4,address
0.25,building
0.4,address
0.25,building
0.4,address
0.5,building
0.41666666666666663,building
0.4,address
0.41666666666666663,building
0.5,building
0.5,highway
0.5,building
0.25,building
0.3333333333333333,address
0.5,building
0.5,building
0.25,building
0.5,building
0.5,building
0.4383333333333333,misc
0.41666666666666663,building
0.2222222222222222,building
0.4,address
0.4,address
0.4,address
0.375,building
0.25,building
0.5,highway
0.16666666666666666,address
0.5,building
0.4,address
0.375,building
0.3333333333333333,building
0.2222222222222222,address
0.4,address
0.16666666666666666,address
0.2,address
0.5,building
0.27777777777777773,building
0.3333333333333333,building
0.5,building
0.27777777777777773,address
0.25,building
0.2571428571428571,building
0.25,building
0.41666666666666663,building
1.0,misc
0.25,building
0.3214285714285714,building
0.375,building
0.25,building
0.3333333333333333,address
0.4,address
0.0,misc
0.5,building
0.5,building
0.4,address
0.5,building
0.25,building
0.26666666666666666,address
0.25,building
0.5,building
0.40277777777777773,address
0.4,address
0.375,building
0.55,address
0.25,building
0.2,address
0.41666666666666663,building
0.4,address
0.5916666666666667,address
0.5,building
0.375,building
0.5,building
0.5,building
0.5,building
0.3,address
0.25,building
0.4,address
0.3333333333333333,address
0.25,building
0.16666666666666666,misc
0.4,address
0.4,address
0.25,building
0.5,building
0.4,address
0.375,building
0.41666666666666663,building
0.4,address
0.4,address
0.39285714285714285,address
0.375,building
0.25,building
0.43333333333333335,address
0.3333333333333333,address
0.3125,building
0.25,building
0.5,building
0.4,address
0.375,building
0.5,building
0.16666666666666666,address
0.5,building
0.2857142857142857,building
0.4,address
0.4,address
0.3214285714285714,building
0.46990740740740744,address
0.5,building
0.4,address
0.41666666666666663,building
0.25,building
0.0,misc
0.3333333333333333,address
0.55,address
0.5,building
0.4,address
0.3214285714285714,building
0.3125,building
0.25,building
0.4,address
0.65,building
0.5,building
0.5,building
0.3333333333333333,address
0.41666666666666663,building
0.35,building
0.3,building
1.0,misc
0.5,building
0.25,building
0.5,building
0.5,building
0.4,address
0.25,building
0.4047619047619047,address
0.3214285714285714,building
0.3214285714285714,building
0.5,building
1.0,misc
0.25,building
0.4,address
0.41666666666666663,building
0.25,building
0.375,building
0.375,building
0.41666666666666663,building
0.16666666666666666,address
0.5,building
0.5,building
0.25,building
0.3055555555555556,building
0.4,address
0.25,building
0.5,building
0.3333333333333333,address
0.375,building
0.375,building
0.25,building
0.5,building
0.16666666666666666,address
0.375,building
0.5,building
0.47301587301587295,address
0.3,address
0.2,address
0.25,building
0.5,building
0.3333333333333333,address
0.4666666666666667,address
0.25,building
0.625,address
0.35,building
0.25,building
0.5,building
0.5,building
0.4,address
1.0,misc
0.4,address
0.25,building
0.5869047619047619,misc
0.3333333333333333,building
0.16666666666666666,address
0.25,building
0.41666666666666663,building
0.4,address
0.3333333333333333,address
0.5,building
0.25,building
0.5,building
0.5119047619047619,address
0.35,misc
0.4,address
0.4,address
0.25,building
0.4,address
0.4,address
0.375,building
0.3333333333333333,address
0.4,address
0.5,building
0.3333333333333333,address
0.4,address
0.3958333333333333,address
0.5,building
0.25,building
0.19999999999999998,address
0.3125,building
0.41666666666666663,building
0.25,building
0.5,building
0.5,building
0.3333333333333333,building
0.25,building
0.2,address
0.35,building
0.5,building
0.5,building
1.0,misc
0.5,building
0.2,highway
0.16666666666666666,misc
0.5,building
0.5,building
0.3333333333333333,building
0.25,building
0.25,building
0.5,building
0.3055555555555556,building
0.6656746031746031,misc
0.25,building
0.25,building
0.25,building
0.27777777777777773,address
0.3,building
0.3333333333333333,address
0.25,building
0.2,address
0.2857142857142857,address
0.3,address
0.75,misc
0.419047619047619,address
0.375,building
0.5,building
0.5,building
0.41666666666666663,building
0.3055555555555556,building
0.3333333333333333,address
0.25,building
0.375,address
0.25,address
0.5,building
0.5,building
0.3333333333333333,building
0.375,building
0.3055555555555556,building
0.5,building
0.41666666666666663,building
0.2,address
0.4,address
0.5,building
0.5,building
0.25,building
0.35,building
0.5,building
0.5,building
0.2,address
0.4333333333333333,building
0.25,building
0.41666666666666663,building
0.25,building
0.5,building
0.24047619047619045,misc
0.25,building
0.3214285714285714,building
0.578125,misc
0.52,address
0.3,building
0.35,building
0.41666666666666663,building
0.25,building
0.4,address
0.3333333333333333,address
0.25,building
0.2333333333333333,address
0.42698412698412697,misc
0.5,building
0.5,building
0.5,building
0.5,building
0.3007369614512472,address
0.0,misc
0.25,building
0.325,address
0.3333333333333333,address
0.25,building
0.27777777777777773,address
0.25,building
0.4,address
0.5,address
0.4104308390022675,misc
0.3214285714285714,building
0.3,address
0.375,building
0.3,address
0.25,building
0.41666666666666663,building
0.4,address
0.375,building
0.41666666666666663,address
0.3125,building
0.5,building
0.4583333333333333,address
0.41666666666666663,building
0.55,highway
0.5,building
0.41666666666666663,building
0.2,address
0.25,building
0.4,address
0.375,building
0.3,address
0.5,building
0.5,building
0.5,misc
0.4,address
0.5,building
0.41666666666666663,building
0.08333333333333333,misc
0.27777777777777773,address
0.3,building
0.25,building
0.25,building
0.2857142857142857,address
0.25,building
0.25,building
0.16666666666666666,address
0.5,building
0.5,building
0.39285714285714285,misc
0.27999999999999997,address
0.25,misc
0.4,address
0.25,building
0.25,building
0.25,building
0.41666666666666663,building
0.41666666666666663,building
0.2,address
0.4,address
0.25,building
0.4,address
0.4880952380952381,address
0.25,building
0.5,building
0.4,address
0.35,building
0.25,building
0.3214285714285714,building
0.25,building
0.3214285714285714,building
0.41666666666666663,building
0.5,building
0.4,address
0.5,building
0.41666666666666663,building
0.375,building
0.3,address
0.16666666666666666,address
0.0,misc
0.25,building
0.25,building
0.375,building
0.25,building
0.41666666666666663,building
0.8,address
0.5,building
0.3,building
0.3333333333333333,address
0.4,address
0.625,misc
0.25,building
0.375,building
0.375,building
0.5,building
0.5,building
0.5,building
0.9666666666666666,misc
0.4,address
0.375,building
0.41666666666666663,building
0.4,address
0.25,building
0.4,address
0.0,misc
0.0625,highway
0.3333333333333333,address
0.5,building
0.4,address
0.35,building
0.3214285714285714,building
0.25,building
0.4,address
0.6666666666666666,highway
0.5,building
0.5,building
0.3333333333333333,address
0.375,building
0.25,building
0.41666666666666663,building
0.4,address
0.375,building
0.25,building
0.0,misc
0.6,address
0.25,building
0.41666666666666663,building
0.3,building
0.25,building
0.27777777777777773,address
0.4,address
0.2,address
0.3125,building
0.5,building
0.3,building
0.5,building
0.25,building
0.2,address
0.25,building
0.25,building
0.25,building
0.5,building
0.3333333333333333,building
0.2,address
0.375,building
0.5,building
1.0,misc
0.35,building
0.375,building
0.48571428571428565,address
0.5,building
0.35714285714285715,building
0.4,address
0.4,address
0.375,address
0.2,address
0.3333333333333333,building
0.375,address
0.41666666666666663,building
0.3333333333333333,address
0.41666666666666663,building
0.3333333333333333,building
0.5,building
0.4,address
0.41666666666666663,building
0.25,building
0.4,address
0.5,building
0.41666666666666663,building
0.3333333333333333,address
0.5,building
0.4,address
0.3333333333333333,address
0.375,building
0.2,address
0.5,building
0.3,address
